杨天择	2014-02-10	那nissan 350z nismo呢？不知道你是否有驾驶过？	0 赞
张强	2014-02-13	皮实都是传说的吧，美帝人民从来没觉得VW有多皮实	0 赞
莫小知	2014-02-13	我朋友的老帕萨特在stopside和一辆皮卡侧撞，前侧机盖变形，皮卡掉了保险杠。还是我朋友的老本田雅阁在local追尾一辆甲壳虫，速度并不快，减速没刹住，雅阁整个前机盖变形，水箱破了空调基本全毁，当时就不能开了，甲壳虫擦伤。	0 赞
张强	2014-02-13	你这2个案例VW车都是有利位置啊，车头有柔软的溃缩装置，车尾是直接跟大梁相连，软车头撞硬车尾，自然追尾方吃亏。	0 赞
张强	2014-02-13	这种靠个例产生的印象很容易被主观因素影响，所以最好还是靠数据说话，包括车重，碰撞评分等都能客观体现车子的用料和安全性能。	0 赞
莫小知	2014-02-14	不是不懂么所以只能看例子了，哦哦还有我以前开甲壳虫现在是奥迪，后备箱盖子放下去都是一声闷响kong，盖门也厚，我朋友的本田就薄，放下去是咣的一声，整个手感都不对	0 赞
shenme why	2014-02-14	开这些车都是从哪里找的？是租的还是开朋友的	0 赞
神胖胖（作者）	2014-02-14	有些是我自己的车，还有些是Hertz租车的时候开过，还有些是朋友的车给我开过，还有些是想买之前试驾过，还有些是在驾校时开过。	0 赞
shenme why	2014-02-14	在美国开车有限速，一脚油门就到限速了（我猜），开好车的乐趣在哪里可以体现？	0 赞
神胖胖（作者）	2014-02-14	https://www.youtube.com/watch?v=Ix0_wdtKs2o	0 赞
神胖胖（作者）	2014-02-14	还有，https://www.youtube.com/watch?v=bgwg7ANVoTs	0 赞
shenme why	2014-02-14	开赛道啊，平时只能克制了哈	0 赞
张强	2014-02-14	所谓关门声好听需要做到2点，1，良好的密封性，2，门重。你把车窗打开，再关门试试。门的重量（侧门，后备箱盖）主要靠门内填充物（隔音材料很重的），同级别车型里大家的用料都差不多，帕萨特和天籁比差别就很小。	0 赞
神胖胖（作者）	2014-02-15	以西方人的审美，Audi这种样子的车是给小朋友开的。比如What stereotypes are associated with these cars?这个回答里面，sage就提到开Audi的一看就是心理上还没发育成熟。	0 赞
Wales Chen	2014-02-25	前两个顶一下 我也来回答一下吧 看到350z nismo的 。	0 赞
徐冰	2014-03-10	没有韩国车	0 赞
